date,currency,exchange_rate
2025-09-21,USD,1.174557
2025-09-20,USD,1.174557
2025-09-19,USD,1.175923
2025-09-18,USD,1.182242
2025-09-17,USD,1.184418
2025-09-16,USD,1.179148
2025-09-15,USD,1.173736
2025-09-14,USD,1.173566
2025-09-13,USD,1.173566
2025-09-12,USD,1.173186
2025-09-11,USD,1.169236
2025-09-10,USD,1.16985
2025-09-09,USD,1.175848
2025-09-08,USD,1.174095
2025-09-07,USD,1.17219
2025-09-06,USD,1.17219
2025-09-05,USD,1.167583
2025-09-04,USD,1.164918
2025-09-03,USD,1.164362
2025-09-02,USD,1.164742
2025-09-01,USD,1.172264
2025-08-31,USD,1.168492
2025-08-30,USD,1.168492
2025-08-29,USD,1.167774
2025-08-28,USD,1.164619
2025-08-27,USD,1.159138
2025-08-26,USD,1.16167
2025-08-25,USD,1.170679
2025-08-24,USD,1.17219
2025-08-23,USD,1.17219
2025-08-22,USD,1.159393
2025-08-21,USD,1.165542
2025-08-20,USD,1.164226
2025-08-19,USD,1.16746
2025-08-18,USD,1.167378
2025-08-17,USD,1.170617
2025-08-16,USD,1.170617
2025-08-15,USD,1.167856
2025-08-14,USD,1.167884
2025-08-13,USD,1.171536
2025-08-12,USD,1.161373
2025-08-11,USD,1.165189
2025-08-10,USD,1.164817
2025-08-09,USD,1.164817
2025-08-08,USD,1.164077
2025-08-07,USD,1.168115
2025-08-06,USD,1.15793
2025-08-05,USD,1.154374
2025-08-04,USD,1.155775
2025-08-03,USD,1.159353
2025-08-02,USD,1.159353
2025-08-01,USD,1.141885
2025-07-31,USD,1.144038
2025-07-30,USD,1.155735
2025-07-29,USD,1.157112
2025-07-28,USD,1.167883
2025-07-27,USD,1.174668
2025-07-26,USD,1.174668
2025-07-25,USD,1.173985
2025-07-24,USD,1.17665
2025-07-23,USD,1.173298
2025-07-22,USD,1.169768
2025-07-21,USD,1.16442
2025-07-20,USD,1.162261
2025-07-19,USD,1.162261
2025-07-18,USD,1.163969
2025-07-17,USD,1.159998
2025-07-16,USD,1.162525
2025-07-15,USD,1.168838
2025-07-14,USD,1.168347
2025-07-13,USD,1.169038
2025-07-12,USD,1.169038
2025-07-11,USD,1.168197
2025-07-10,USD,1.173007
2025-07-09,USD,1.171688
2025-07-08,USD,1.174854
2025-07-07,USD,1.173076
2025-07-06,USD,1.177925
2025-07-05,USD,1.177925
2025-07-04,USD,1.177481
2025-07-03,USD,1.179218
2025-07-02,USD,1.1769
2025-07-01,USD,1.182215
2025-06-30,USD,1.172456
2025-06-29,USD,1.171915
2025-06-28,USD,1.171915
2025-06-27,USD,1.170685
2025-06-26,USD,1.172072
2025-06-25,USD,1.159474
2025-06-24,USD,1.159326
2025-06-23,USD,1.146302
2025-06-22,USD,1.152467
2025-06-21,USD,1.152467
2025-06-20,USD,1.152203
2025-06-19,USD,1.147631
2025-06-18,USD,1.150397
2025-06-17,USD,1.155508
2025-06-16,USD,1.15773
2025-06-15,USD,1.15553
2025-06-14,USD,1.15553
2025-06-13,USD,1.152751
2025-06-12,USD,1.154641
2025-06-11,USD,1.143583
2025-06-10,USD,1.140966
2025-06-09,USD,1.143641
2025-06-08,USD,1.140445
2025-06-07,USD,1.140445
2025-06-06,USD,1.141201
2025-06-05,USD,1.14197
2025-06-04,USD,1.139134
2025-06-03,USD,1.14137
2025-06-02,USD,1.143157
2025-06-01,USD,1.134758
2025-05-31,USD,1.134758
2025-05-30,USD,1.132958
2025-05-29,USD,1.127646
2025-05-28,USD,1.1336
2025-05-27,USD,1.134907
2025-05-26,USD,1.138252
2025-05-25,USD,1.137004
2025-05-24,USD,1.137004
2025-05-23,USD,1.134558
2025-05-22,USD,1.130187
2025-05-21,USD,1.132214
2025-05-20,USD,1.125745
2025-05-19,USD,1.126545
2025-05-18,USD,1.116315
2025-05-17,USD,1.116315
2025-05-16,USD,1.120222
2025-05-15,USD,1.120693
2025-05-14,USD,1.125175
2025-05-13,USD,1.111216
2025-05-12,USD,1.11252
2025-05-11,USD,1.125361
2025-05-10,USD,1.125361
2025-05-09,USD,1.125397
2025-05-08,USD,1.128534
2025-05-07,USD,1.136422
2025-05-06,USD,1.131036
2025-05-05,USD,1.133716
2025-05-04,USD,1.130135
2025-05-03,USD,1.130135
2025-05-02,USD,1.134668
2025-05-01,USD,1.132266
2025-04-30,USD,1.137126
2025-04-29,USD,1.139192
2025-04-28,USD,1.135628
2025-04-27,USD,1.13804
2025-04-26,USD,1.140116
2025-04-25,USD,1.134765
2025-04-24,USD,1.138187
2025-04-23,USD,1.1437
2025-04-22,USD,1.150087
2025-04-21,USD,1.137236
2025-04-20,USD,1.137236
2025-04-19,USD,1.137236
2025-04-18,USD,1.137236
2025-04-17,USD,1.137126
2025-04-16,USD,1.13626
2025-04-15,USD,1.133697
2025-04-14,USD,1.138913
2025-04-13,USD,1.135971
2025-04-12,USD,1.135971
2025-04-11,USD,1.139913
2025-04-10,USD,1.104344
2025-04-09,USD,1.103649
2025-04-08,USD,1.091685
2025-04-07,USD,1.0974
2025-04-06,USD,1.09595
2025-04-05,USD,1.09595
2025-04-04,USD,1.098412
2025-04-03,USD,1.102992
2025-04-02,USD,1.079902
2025-04-01,USD,1.079873
2025-03-31,USD,1.082778
2025-03-30,USD,1.088553
2025-03-29,USD,1.088553
2025-03-28,USD,1.07729
2025-03-27,USD,1.076896
2025-03-26,USD,1.079902
2025-03-25,USD,1.07971
2025-03-24,USD,1.083641
2025-03-23,USD,1.087725
2025-03-22,USD,1.087725
2025-03-21,USD,1.083547
2025-03-20,USD,1.084351
2025-03-19,USD,1.089532
2025-03-18,USD,1.093488
2025-03-17,USD,1.090328
2025-03-16,USD,1.092239
2025-03-15,USD,1.092239
2025-03-14,USD,1.087205
2025-03-13,USD,1.087187
2025-03-12,USD,1.091936
2025-03-11,USD,1.089794
2025-03-10,USD,1.085818
2025-03-09,USD,1.083654
2025-03-08,USD,1.083654
2025-03-07,USD,1.086644
2025-03-06,USD,1.07872
2025-03-05,USD,1.068804
2025-03-04,USD,1.051353
2025-03-03,USD,1.044191
2025-03-02,USD,1.037828
2025-03-01,USD,1.037828
2025-02-28,USD,1.039344
2025-02-27,USD,1.047631
2025-02-26,USD,1.049621
2025-02-25,USD,1.04706
2025-02-24,USD,1.046907
2025-02-23,USD,1.046458
2025-02-22,USD,1.046458
2025-02-21,USD,1.046918
2025-02-20,USD,1.044125
2025-02-19,USD,1.042373
2025-02-18,USD,1.046217
