date,currency,exchange_rate
2004-08-30,AUD,1.7237
2004-08-31,AUD,1.7296
2004-09-01,AUD,1.7315
2004-09-02,AUD,1.7474
2004-09-03,AUD,1.7459
2004-09-06,AUD,1.7418
2004-09-07,AUD,1.743
2004-09-08,AUD,1.7487
2004-09-09,AUD,1.7719
2004-09-10,AUD,1.7616
2004-09-13,AUD,1.7618
2004-09-14,AUD,1.7455
2004-09-15,AUD,1.7487
2004-09-16,AUD,1.7445
2004-09-17,AUD,1.7436
2004-09-20,AUD,1.7367
2004-09-21,AUD,1.7514
2004-09-22,AUD,1.735
2004-09-23,AUD,1.7174
2004-09-24,AUD,1.7172
2004-09-27,AUD,1.7244
2004-09-28,AUD,1.7177
2004-09-29,AUD,1.7195
2004-09-30,AUD,1.7078
2004-10-01,AUD,1.709
2004-10-04,AUD,1.6985
2004-10-05,AUD,1.7004
2004-10-06,AUD,1.6956
2004-10-07,AUD,1.688
2004-10-08,AUD,1.6879
2004-10-11,AUD,1.6881
2004-10-12,AUD,1.6864
2004-10-13,AUD,1.6979
2004-10-14,AUD,1.6973
2004-10-15,AUD,1.7069
2004-10-18,AUD,1.722
2004-10-19,AUD,1.7217
2004-10-20,AUD,1.7144
2004-10-21,AUD,1.7091
2004-10-22,AUD,1.7099
2004-10-25,AUD,1.7135
2004-10-26,AUD,1.7096
2004-10-27,AUD,1.7051
2004-10-28,AUD,1.7092
2004-10-29,AUD,1.7089
2004-11-01,AUD,1.7054
2004-11-02,AUD,1.7033
2004-11-03,AUD,1.6951
2004-11-04,AUD,1.6982
2004-11-05,AUD,1.697
2004-11-08,AUD,1.7054
2004-11-09,AUD,1.6958
2004-11-10,AUD,1.6952
2004-11-11,AUD,1.687
2004-11-12,AUD,1.6846
2004-11-15,AUD,1.6726
2004-11-16,AUD,1.6773
2004-11-17,AUD,1.6665
2004-11-18,AUD,1.6658
2004-11-19,AUD,1.6598
2004-11-22,AUD,1.6649
2004-11-23,AUD,1.6636
2004-11-24,AUD,1.6718
2004-11-25,AUD,1.672
2004-11-26,AUD,1.6824
2004-11-29,AUD,1.6911
2004-11-30,AUD,1.7194
2004-12-01,AUD,1.7178
2004-12-02,AUD,1.7095
2004-12-03,AUD,1.722
2004-12-06,AUD,1.7322
2004-12-07,AUD,1.733
2004-12-08,AUD,1.7622
2004-12-09,AUD,1.7611
2004-12-10,AUD,1.7602
2004-12-13,AUD,1.7543
2004-12-14,AUD,1.7578
2004-12-15,AUD,1.7556
2004-12-16,AUD,1.7491
2004-12-17,AUD,1.74
2004-12-20,AUD,1.7541
2004-12-21,AUD,1.7453
2004-12-22,AUD,1.7514
2004-12-23,AUD,1.7612
2004-12-24,AUD,1.7591
2004-12-27,AUD,1.7499
2004-12-28,AUD,1.745
2004-12-29,AUD,1.7561
2004-12-30,AUD,1.7502
2004-12-31,AUD,1.7324
2005-01-03,AUD,1.7282
2005-01-04,AUD,1.7343
2005-01-05,AUD,1.7323
2005-01-06,AUD,1.7308
2005-01-07,AUD,1.725
