date,currency,exchange_rate
2004-08-31,CAD,1.5967
2004-09-01,CAD,1.5913
2004-09-02,CAD,1.5798
2004-09-03,CAD,1.5668
2004-09-06,CAD,1.5672
2004-09-07,CAD,1.5576
2004-09-08,CAD,1.5715
2004-09-09,CAD,1.5688
2004-09-10,CAD,1.5808
2004-09-13,CAD,1.5933
2004-09-14,CAD,1.5834
2004-09-15,CAD,1.5765
2004-09-16,CAD,1.573
2004-09-17,CAD,1.5801
2004-09-20,CAD,1.5748
2004-09-21,CAD,1.5862
2004-09-22,CAD,1.5743
2004-09-23,CAD,1.57
2004-09-24,CAD,1.5628
2004-09-27,CAD,1.5622
2004-09-28,CAD,1.5665
2004-09-29,CAD,1.5669
2004-09-30,CAD,1.5676
2004-10-01,CAD,1.566
2004-10-04,CAD,1.5632
2004-10-05,CAD,1.5538
2004-10-06,CAD,1.5457
2004-10-07,CAD,1.5483
2004-10-08,CAD,1.5531
2004-10-11,CAD,1.5532
2004-10-12,CAD,1.5478
2004-10-13,CAD,1.5513
2004-10-14,CAD,1.5546
2004-10-15,CAD,1.5619
2004-10-18,CAD,1.5703
2004-10-19,CAD,1.5734
2004-10-20,CAD,1.567
2004-10-21,CAD,1.5683
2004-10-22,CAD,1.5611
2004-10-25,CAD,1.5616
2004-10-26,CAD,1.5619
2004-10-27,CAD,1.558
2004-10-28,CAD,1.5584
2004-10-29,CAD,1.5591
2004-11-01,CAD,1.5556
2004-11-02,CAD,1.5561
2004-11-03,CAD,1.5483
2004-11-04,CAD,1.5525
2004-11-05,CAD,1.5525
2004-11-08,CAD,1.5402
2004-11-09,CAD,1.5465
2004-11-10,CAD,1.5389
2004-11-11,CAD,1.5433
2004-11-12,CAD,1.5477
2004-11-15,CAD,1.5538
2004-11-16,CAD,1.5483
2004-11-17,CAD,1.5574
2004-11-18,CAD,1.5631
2004-11-19,CAD,1.5529
2004-11-22,CAD,1.5452
2004-11-23,CAD,1.5518
2004-11-24,CAD,1.5544
2004-11-25,CAD,1.5589
2004-11-26,CAD,1.5631
2004-11-29,CAD,1.5725
2004-11-30,CAD,1.576
2004-12-01,CAD,1.5767
2004-12-02,CAD,1.582
2004-12-03,CAD,1.6052
2004-12-06,CAD,1.6118
2004-12-07,CAD,1.6209
2004-12-08,CAD,1.6236
2004-12-09,CAD,1.6274
2004-12-10,CAD,1.6221
2004-12-13,CAD,1.6349
2004-12-14,CAD,1.6417
2004-12-15,CAD,1.6429
2004-12-16,CAD,1.6334
2004-12-17,CAD,1.6298
2004-12-20,CAD,1.6456
2004-12-21,CAD,1.6436
2004-12-22,CAD,1.6604
2004-12-23,CAD,1.6637
2004-12-24,CAD,1.662
2004-12-27,CAD,1.6597
2004-12-28,CAD,1.6544
2004-12-29,CAD,1.6489
2004-12-30,CAD,1.6425
2004-12-31,CAD,1.6266
2005-01-03,CAD,1.6274
2005-01-04,CAD,1.6224
2005-01-05,CAD,1.6255
2005-01-06,CAD,1.6267
2005-01-07,CAD,1.6083
2005-01-10,CAD,1.5986
2005-01-11,CAD,1.5975
2005-01-12,CAD,1.5915
2005-01-13,CAD,1.587
2005-01-14,CAD,1.5925
2005-01-17,CAD,1.5903
2005-01-18,CAD,1.5929
2005-01-19,CAD,1.5949
2005-01-20,CAD,1.5987
2005-01-21,CAD,1.5935
2005-01-24,CAD,1.5984
2005-01-25,CAD,1.6031
2005-01-26,CAD,1.6121
2005-01-27,CAD,1.6141
2005-01-28,CAD,1.6168
2005-01-31,CAD,1.6168
2005-02-01,CAD,1.6145
2005-02-02,CAD,1.6132
2005-02-03,CAD,1.6097
2005-02-04,CAD,1.6075
2005-02-07,CAD,1.6042
2005-02-08,CAD,1.5938
2005-02-09,CAD,1.5989
2005-02-10,CAD,1.5976
2005-02-11,CAD,1.5919
2005-02-14,CAD,1.6002
2005-02-15,CAD,1.602
2005-02-16,CAD,1.6126
2005-02-17,CAD,1.6066
2005-02-18,CAD,1.6092
2005-02-21,CAD,1.6118
2005-02-22,CAD,1.6229
2005-02-23,CAD,1.6376
2005-02-24,CAD,1.6381
2005-02-25,CAD,1.6412
2005-02-28,CAD,1.6322
2005-03-01,CAD,1.636
2005-03-02,CAD,1.6275
2005-03-03,CAD,1.6293
2005-03-04,CAD,1.6291
2005-03-07,CAD,1.6224
2005-03-08,CAD,1.6191
2005-03-09,CAD,1.611
2005-03-10,CAD,1.6157
2005-03-11,CAD,1.6211
2005-03-14,CAD,1.6114
2005-03-15,CAD,1.6058
2005-03-16,CAD,1.6148
2005-03-17,CAD,1.6079
2005-03-18,CAD,1.6011
2005-03-21,CAD,1.5938
2005-03-22,CAD,1.5813
2005-03-23,CAD,1.5773
2005-03-24,CAD,1.5724
2005-03-25,CAD,1.5777
2005-03-28,CAD,1.5731
2005-03-29,CAD,1.5646
2005-03-30,CAD,1.5738
2005-03-31,CAD,1.568
2005-04-01,CAD,1.5696
2005-04-04,CAD,1.5691
2005-04-05,CAD,1.5685
2005-04-06,CAD,1.5723
2005-04-07,CAD,1.5707
2005-04-08,CAD,1.5863
2005-04-11,CAD,1.6031
2005-04-12,CAD,1.5976
2005-04-13,CAD,1.5982
2005-04-14,CAD,1.5915
2005-04-15,CAD,1.6087
2005-04-18,CAD,1.6248
2005-04-19,CAD,1.6183
2005-04-20,CAD,1.6211
2005-04-21,CAD,1.6165
2005-04-22,CAD,1.6134
2005-04-25,CAD,1.6078
2005-04-26,CAD,1.6146
2005-04-27,CAD,1.6169
2005-04-28,CAD,1.6143
2005-04-29,CAD,1.6186
2005-05-02,CAD,1.6141
2005-05-03,CAD,1.6139
2005-05-04,CAD,1.6123
2005-05-05,CAD,1.613
2005-05-06,CAD,1.5919
2005-05-09,CAD,1.5896
2005-05-10,CAD,1.5919
2005-05-11,CAD,1.5973
2005-05-12,CAD,1.5894
2005-05-13,CAD,1.5963
2005-05-16,CAD,1.6038
2005-05-17,CAD,1.5945
2005-05-18,CAD,1.5976
2005-05-19,CAD,1.5915
2005-05-20,CAD,1.5897
2005-05-23,CAD,1.5829
2005-05-24,CAD,1.5846
2005-05-25,CAD,1.5925
