date,currency,exchange_rate
2004-09-03,CHF,1.5315
2004-09-06,CHF,1.5324
2004-09-07,CHF,1.5338
2004-09-08,CHF,1.5352
2004-09-09,CHF,1.5403
2004-09-10,CHF,1.542
2004-09-13,CHF,1.5428
2004-09-14,CHF,1.5421
2004-09-15,CHF,1.5428
2004-09-16,CHF,1.5439
2004-09-17,CHF,1.5448
2004-09-20,CHF,1.5483
2004-09-21,CHF,1.5452
2004-09-22,CHF,1.5447
2004-09-23,CHF,1.5465
2004-09-24,CHF,1.5472
2004-09-27,CHF,1.5493
2004-09-28,CHF,1.5506
2004-09-29,CHF,1.5523
2004-09-30,CHF,1.5479
2004-10-01,CHF,1.5505
2004-10-04,CHF,1.5526
2004-10-05,CHF,1.553
2004-10-06,CHF,1.5534
2004-10-07,CHF,1.5523
2004-10-08,CHF,1.5506
2004-10-11,CHF,1.5489
2004-10-12,CHF,1.5485
2004-10-13,CHF,1.5452
2004-10-14,CHF,1.5419
2004-10-15,CHF,1.5375
2004-10-18,CHF,1.5377
2004-10-19,CHF,1.538
2004-10-20,CHF,1.5369
2004-10-21,CHF,1.5355
2004-10-22,CHF,1.5357
2004-10-25,CHF,1.5314
2004-10-26,CHF,1.5324
2004-10-27,CHF,1.5332
2004-10-28,CHF,1.5282
2004-10-29,CHF,1.5271
2004-11-01,CHF,1.5321
2004-11-02,CHF,1.5325
2004-11-03,CHF,1.5297
2004-11-04,CHF,1.5282
2004-11-05,CHF,1.5253
2004-11-08,CHF,1.5257
2004-11-09,CHF,1.5259
2004-11-10,CHF,1.5217
2004-11-11,CHF,1.5189
2004-11-12,CHF,1.5188
2004-11-15,CHF,1.5262
2004-11-16,CHF,1.5239
2004-11-17,CHF,1.5141
2004-11-18,CHF,1.5164
2004-11-19,CHF,1.5123
2004-11-22,CHF,1.5157
2004-11-23,CHF,1.5149
2004-11-24,CHF,1.5093
2004-11-25,CHF,1.5098
2004-11-26,CHF,1.5131
2004-11-29,CHF,1.5154
2004-11-30,CHF,1.514
2004-12-01,CHF,1.5197
2004-12-02,CHF,1.5268
2004-12-03,CHF,1.5211
2004-12-06,CHF,1.5289
2004-12-07,CHF,1.5307
2004-12-08,CHF,1.5317
2004-12-09,CHF,1.5302
2004-12-10,CHF,1.535
2004-12-13,CHF,1.5344
2004-12-14,CHF,1.5344
2004-12-15,CHF,1.529
2004-12-16,CHF,1.532
2004-12-17,CHF,1.5377
2004-12-20,CHF,1.5378
2004-12-21,CHF,1.5407
2004-12-22,CHF,1.5424
2004-12-23,CHF,1.544
2004-12-24,CHF,1.5449
2004-12-27,CHF,1.5452
2004-12-28,CHF,1.5436
2004-12-29,CHF,1.5414
2004-12-30,CHF,1.543
2004-12-31,CHF,1.5457
2005-01-03,CHF,1.5447
2005-01-04,CHF,1.5505
2005-01-05,CHF,1.5489
2005-01-06,CHF,1.546
2005-01-07,CHF,1.5463
2005-01-10,CHF,1.5459
2005-01-11,CHF,1.5498
2005-01-12,CHF,1.5473
2005-01-13,CHF,1.5483
2005-01-14,CHF,1.5466
2005-01-17,CHF,1.5452
2005-01-18,CHF,1.5432
2005-01-19,CHF,1.5417
2005-01-20,CHF,1.542
2005-01-21,CHF,1.5456
2005-01-24,CHF,1.5446
2005-01-25,CHF,1.5476
2005-01-26,CHF,1.5467
2005-01-27,CHF,1.5437
2005-01-28,CHF,1.5459
2005-01-31,CHF,1.5488
2005-02-01,CHF,1.5525
2005-02-02,CHF,1.5533
2005-02-03,CHF,1.5588
2005-02-04,CHF,1.5576
2005-02-07,CHF,1.5604
2005-02-08,CHF,1.559
2005-02-09,CHF,1.5571
2005-02-10,CHF,1.5547
2005-02-11,CHF,1.5566
2005-02-14,CHF,1.5534
2005-02-15,CHF,1.5488
2005-02-16,CHF,1.5468
2005-02-17,CHF,1.5458
2005-02-18,CHF,1.5454
2005-02-21,CHF,1.544
2005-02-22,CHF,1.5355
2005-02-23,CHF,1.5367
2005-02-24,CHF,1.5424
2005-02-25,CHF,1.5387
2005-02-28,CHF,1.5371
2005-03-01,CHF,1.5356
2005-03-02,CHF,1.542
2005-03-03,CHF,1.5476
2005-03-04,CHF,1.5477
2005-03-07,CHF,1.5526
2005-03-08,CHF,1.5493
2005-03-09,CHF,1.5504
2005-03-10,CHF,1.5482
2005-03-11,CHF,1.5477
2005-03-14,CHF,1.5499
2005-03-15,CHF,1.5505
2005-03-16,CHF,1.546
