date,currency,exchange_rate
2008-09-04,CNY,9.7463
2008-09-05,CNY,9.7635
2008-09-08,CNY,9.6583
2008-09-09,CNY,9.6543
2008-09-10,CNY,9.5607
2008-09-11,CNY,9.5988
2008-09-12,CNY,9.7214
2008-09-15,CNY,9.7698
2008-09-16,CNY,9.6499
2008-09-17,CNY,9.7976
2008-09-18,CNY,9.7839
2008-09-19,CNY,9.8887
2008-09-22,CNY,10.1096
2008-09-23,CNY,9.9797
2008-09-24,CNY,9.9714
2008-09-25,CNY,9.9729
2008-09-29,CNY,9.8736
2008-09-30,CNY,9.6661
2008-10-01,CNY,9.596
2008-10-02,CNY,9.458
2008-10-03,CNY,9.4358
2008-10-06,CNY,9.2332
2008-10-08,CNY,9.2861
2008-10-09,CNY,9.2673
2008-10-10,CNY,9.1563
2008-10-15,CNY,9.2011
2008-10-16,CNY,9.2152
2008-10-17,CNY,9.164
2008-10-20,CNY,9.1071
2008-10-21,CNY,8.9277
2008-10-22,CNY,8.7728
2008-10-23,CNY,8.8675
2008-10-24,CNY,8.64
2008-10-27,CNY,8.5805
2008-10-28,CNY,8.7249
2008-10-29,CNY,8.8707
2008-10-30,CNY,8.8031
2008-10-31,CNY,8.7091
2008-11-03,CNY,8.6418
2008-11-04,CNY,8.8778
2008-11-05,CNY,8.853
2008-11-06,CNY,8.6806
2008-11-07,CNY,8.6867
2008-11-11,CNY,8.5451
2008-11-12,CNY,8.5395
2008-11-13,CNY,8.7215
2008-11-14,CNY,8.5955
2008-11-17,CNY,8.6338
2008-11-18,CNY,8.6165
2008-11-19,CNY,8.5512
2008-11-20,CNY,8.5032
2008-11-21,CNY,8.5992
2008-11-24,CNY,8.8208
2008-11-25,CNY,8.9156
2008-11-26,CNY,8.7927
2008-11-27,CNY,8.8105
2008-11-28,CNY,8.6628
2008-12-01,CNY,8.6847
2008-12-02,CNY,8.7429
2008-12-03,CNY,8.7347
2008-12-04,CNY,8.7955
2008-12-05,CNY,8.7549
2008-12-08,CNY,8.9078
2008-12-09,CNY,8.8813
2008-12-10,CNY,8.9373
2008-12-11,CNY,9.1467
2008-12-12,CNY,9.1564
2008-12-15,CNY,9.3811
2008-12-16,CNY,9.6074
2008-12-17,CNY,9.8521
2008-12-18,CNY,9.7301
2008-12-19,CNY,9.5253
2008-12-22,CNY,9.5522
2008-12-23,CNY,9.544
2008-12-24,CNY,9.5784
2008-12-25,CNY,9.5756
2008-12-26,CNY,9.5942
2008-12-29,CNY,9.5571
2008-12-30,CNY,9.6131
2008-12-31,CNY,9.5291
2009-01-01,CNY,9.5435
2009-01-02,CNY,9.4824
2009-01-05,CNY,9.2985
2009-01-06,CNY,9.2149
2009-01-07,CNY,9.3166
2009-01-08,CNY,9.3672
2009-01-09,CNY,9.199
2009-01-12,CNY,9.1464
2009-01-13,CNY,9.0121
2009-01-14,CNY,9.0083
2009-01-15,CNY,8.9832
2009-01-16,CNY,9.0856
2009-01-19,CNY,8.9522
2009-01-20,CNY,8.8236
2009-01-21,CNY,8.9207
2009-01-22,CNY,8.8898
2009-01-23,CNY,8.877
2009-01-26,CNY,9.0158
2009-01-27,CNY,9.0032
2009-01-28,CNY,8.9939
2009-01-29,CNY,8.8588
2009-01-30,CNY,8.7532
2009-02-02,CNY,8.7737
2009-02-03,CNY,8.9206
2009-02-04,CNY,8.779
2009-02-05,CNY,8.7487
2009-02-06,CNY,8.8431
2009-02-09,CNY,8.9026
2009-02-10,CNY,8.8109
2009-02-11,CNY,8.8142
2009-02-12,CNY,8.795
2009-02-13,CNY,8.7986
2009-02-16,CNY,8.7304
2009-02-17,CNY,8.6045
2009-02-18,CNY,8.5713
2009-02-20,CNY,8.7739
2009-02-23,CNY,8.7173
2009-02-24,CNY,8.7798
2009-02-25,CNY,8.6938
2009-02-26,CNY,8.7126
2009-02-27,CNY,8.6682
2009-03-02,CNY,8.6098
2009-03-03,CNY,8.5923
2009-03-04,CNY,8.6603
2009-03-05,CNY,8.5846
2009-03-06,CNY,8.6506
2009-03-09,CNY,8.6197
2009-03-10,CNY,8.6759
2009-03-11,CNY,8.7809
2009-03-12,CNY,8.8361
2009-03-13,CNY,8.8411
2009-03-16,CNY,8.8707
2009-03-17,CNY,8.8972
2009-03-18,CNY,9.237
2009-03-19,CNY,9.3306
2009-03-20,CNY,9.2766
2009-03-23,CNY,9.3039
2009-03-24,CNY,9.1994
2009-03-25,CNY,9.2813
2009-03-26,CNY,9.2382
2009-03-27,CNY,9.0788
2009-03-30,CNY,9.0264
2009-03-31,CNY,9.053
2009-04-01,CNY,9.0411
2009-04-03,CNY,9.2172
2009-04-06,CNY,9.1577
2009-04-07,CNY,9.0687
2009-04-08,CNY,9.0663
2009-04-09,CNY,8.9991
2009-04-10,CNY,9.0134
2009-04-13,CNY,9.1368
2009-04-14,CNY,9.0631
2009-04-15,CNY,9.0276
2009-04-16,CNY,9.0063
2009-04-17,CNY,8.9128
2009-04-20,CNY,8.8312
2009-04-21,CNY,8.8378
2009-04-22,CNY,8.8771
2009-04-23,CNY,8.9677
2009-04-24,CNY,9.0397
2009-04-27,CNY,8.8899
2009-04-28,CNY,8.9801
2009-04-29,CNY,9.0479
2009-04-30,CNY,9.033
2009-05-01,CNY,9.0559
2009-05-04,CNY,9.1531
2009-05-05,CNY,9.0904
2009-05-06,CNY,9.0947
2009-05-07,CNY,9.1313
2009-05-08,CNY,9.306
2009-05-11,CNY,9.2732
2009-05-12,CNY,9.3101
2009-05-13,CNY,9.2821
2009-05-14,CNY,9.3162
2009-05-15,CNY,9.1892
2009-05-18,CNY,9.2373
2009-05-19,CNY,9.3149
2009-05-20,CNY,9.425
2009-05-21,CNY,9.4856
2009-05-22,CNY,9.56
2009-05-25,CNY,9.5641
2009-05-26,CNY,9.5556
2009-05-27,CNY,9.4508
2009-05-29,CNY,9.6673
2009-06-01,CNY,9.6606
