date,currency,exchange_rate
2004-09-03,GBP,0.6779
2004-09-06,GBP,0.6778
2004-09-07,GBP,0.6822
2004-09-08,GBP,0.681
2004-09-09,GBP,0.6833
2004-09-10,GBP,0.6822
2004-09-13,GBP,0.6819
2004-09-14,GBP,0.6815
2004-09-15,GBP,0.6837
2004-09-16,GBP,0.679
2004-09-17,GBP,0.6789
2004-09-20,GBP,0.6812
2004-09-21,GBP,0.6861
2004-09-22,GBP,0.6837
2004-09-23,GBP,0.6826
2004-09-24,GBP,0.6801
2004-09-27,GBP,0.6795
2004-09-28,GBP,0.679
2004-09-29,GBP,0.6847
2004-09-30,GBP,0.6858
2004-10-01,GBP,0.6898
2004-10-04,GBP,0.6883
2004-10-05,GBP,0.6905
2004-10-06,GBP,0.6898
2004-10-07,GBP,0.6887
2004-10-08,GBP,0.6912
2004-10-11,GBP,0.6883
2004-10-12,GBP,0.6879
2004-10-13,GBP,0.688
2004-10-14,GBP,0.6887
2004-10-15,GBP,0.6912
2004-10-18,GBP,0.6941
2004-10-19,GBP,0.6934
2004-10-20,GBP,0.6919
2004-10-21,GBP,0.6898
2004-10-22,GBP,0.6934
2004-10-25,GBP,0.6948
2004-10-26,GBP,0.6948
2004-10-27,GBP,0.6951
2004-10-28,GBP,0.6958
2004-10-29,GBP,0.6952
2004-11-01,GBP,0.695
2004-11-02,GBP,0.6908
2004-11-03,GBP,0.6937
2004-11-04,GBP,0.6976
2004-11-05,GBP,0.6987
2004-11-08,GBP,0.6955
2004-11-09,GBP,0.694
2004-11-10,GBP,0.6977
2004-11-11,GBP,0.7005
2004-11-12,GBP,0.6984
2004-11-15,GBP,0.7006
2004-11-16,GBP,0.6988
2004-11-17,GBP,0.7005
2004-11-18,GBP,0.7002
2004-11-19,GBP,0.7009
2004-11-22,GBP,0.7012
2004-11-23,GBP,0.7002
2004-11-24,GBP,0.7008
2004-11-25,GBP,0.7009
2004-11-26,GBP,0.7016
2004-11-29,GBP,0.7009
2004-11-30,GBP,0.6952
2004-12-01,GBP,0.6887
2004-12-02,GBP,0.6893
2004-12-03,GBP,0.6919
2004-12-06,GBP,0.6915
2004-12-07,GBP,0.6898
2004-12-08,GBP,0.6891
2004-12-09,GBP,0.6909
2004-12-10,GBP,0.6908
2004-12-13,GBP,0.6911
2004-12-14,GBP,0.6894
2004-12-15,GBP,0.6894
2004-12-16,GBP,0.6852
2004-12-17,GBP,0.6851
