date,currency,exchange_rate
2004-08-31,JPY,132.85
2004-09-01,JPY,133.35
2004-09-02,JPY,133.22
2004-09-03,JPY,133.36
2004-09-06,JPY,132.83
2004-09-07,JPY,132.35
2004-09-08,JPY,133.21
2004-09-09,JPY,133.99
2004-09-10,JPY,134.3
2004-09-13,JPY,134.83
2004-09-14,JPY,134.22
2004-09-15,JPY,133.6
2004-09-16,JPY,133.47
2004-09-17,JPY,133.86
2004-09-20,JPY,133.66
2004-09-21,JPY,135.32
2004-09-22,JPY,135.63
2004-09-23,JPY,135.88
2004-09-24,JPY,135.75
2004-09-27,JPY,136.77
2004-09-28,JPY,137.21
2004-09-29,JPY,136.61
2004-09-30,JPY,136.8
2004-10-01,JPY,136.94
2004-10-04,JPY,136.13
2004-10-05,JPY,136.83
2004-10-06,JPY,136.63
2004-10-07,JPY,136.5
2004-10-08,JPY,135.85
2004-10-11,JPY,135.27
2004-10-12,JPY,135.16
2004-10-13,JPY,135.47
2004-10-14,JPY,135.63
2004-10-15,JPY,136.16
2004-10-18,JPY,136.41
2004-10-19,JPY,135.52
2004-10-20,JPY,136.16
2004-10-21,JPY,135.58
2004-10-22,JPY,135.61
2004-10-25,JPY,136.63
2004-10-26,JPY,136.22
2004-10-27,JPY,135.27
2004-10-28,JPY,135.38
2004-10-29,JPY,135.38
2004-11-01,JPY,135.63
2004-11-02,JPY,135.08
2004-11-03,JPY,136.16
2004-11-04,JPY,136.44
2004-11-05,JPY,136.85
2004-11-08,JPY,136.25
2004-11-09,JPY,136.25
2004-11-10,JPY,138.0
2004-11-11,JPY,137.52
2004-11-12,JPY,136.91
2004-11-15,JPY,136.25
2004-11-16,JPY,136.41
2004-11-17,JPY,135.52
2004-11-18,JPY,134.97
2004-11-19,JPY,134.16
2004-11-22,JPY,134.5
2004-11-23,JPY,135.13
2004-11-24,JPY,135.52
2004-11-25,JPY,135.82
2004-11-26,JPY,136.27
2004-11-29,JPY,136.47
2004-11-30,JPY,136.63
2004-12-01,JPY,136.88
2004-12-02,JPY,136.88
2004-12-03,JPY,137.37
2004-12-06,JPY,138.37
2004-12-07,JPY,138.13
2004-12-08,JPY,138.68
2004-12-09,JPY,138.63
2004-12-10,JPY,139.16
2004-12-13,JPY,139.05
2004-12-14,JPY,139.44
2004-12-15,JPY,140.33
2004-12-16,JPY,138.69
2004-12-17,JPY,138.63
2004-12-20,JPY,139.41
2004-12-21,JPY,139.5
2004-12-22,JPY,139.5
2004-12-23,JPY,139.91
2004-12-24,JPY,140.24
2004-12-27,JPY,140.24
2004-12-28,JPY,140.22
2004-12-29,JPY,141.22
2004-12-30,JPY,140.52
2004-12-31,JPY,138.88
2005-01-03,JPY,138.36
2005-01-04,JPY,138.86
2005-01-05,JPY,138.02
2005-01-06,JPY,138.22
2005-01-07,JPY,136.91
2005-01-10,JPY,136.38
2005-01-11,JPY,135.36
2005-01-12,JPY,135.72
2005-01-13,JPY,135.33
2005-01-14,JPY,133.55
2005-01-17,JPY,133.27
2005-01-18,JPY,133.13
2005-01-19,JPY,133.58
2005-01-20,JPY,133.96
2005-01-21,JPY,134.05
2005-01-24,JPY,134.0
2005-01-25,JPY,134.88
2005-01-26,JPY,134.75
2005-01-27,JPY,134.36
2005-01-28,JPY,134.72
2005-01-31,JPY,135.05
2005-02-01,JPY,135.24
2005-02-02,JPY,134.94
2005-02-03,JPY,135.47
2005-02-04,JPY,133.88
2005-02-07,JPY,133.66
2005-02-08,JPY,134.99
2005-02-09,JPY,135.22
2005-02-10,JPY,136.32
2005-02-11,JPY,136.1
2005-02-14,JPY,136.35
2005-02-15,JPY,135.97
2005-02-16,JPY,137.33
2005-02-17,JPY,137.88
2005-02-18,JPY,138.02
2005-02-21,JPY,137.86
2005-02-22,JPY,137.85
2005-02-23,JPY,138.46
2005-02-24,JPY,139.0
2005-02-25,JPY,139.33
2005-02-28,JPY,138.33
2005-03-01,JPY,137.66
2005-03-02,JPY,137.46
2005-03-03,JPY,137.99
2005-03-04,JPY,138.52
2005-03-07,JPY,138.91
2005-03-08,JPY,139.63
2005-03-09,JPY,139.16
2005-03-10,JPY,139.66
2005-03-11,JPY,139.85
2005-03-14,JPY,140.08
2005-03-15,JPY,139.1
2005-03-16,JPY,139.71
2005-03-17,JPY,139.78
2005-03-18,JPY,139.36
2005-03-21,JPY,138.36
2005-03-22,JPY,138.11
2005-03-23,JPY,137.48
2005-03-24,JPY,137.53
2005-03-25,JPY,137.72
2005-03-28,JPY,138.16
2005-03-29,JPY,138.96
2005-03-30,JPY,139.05
2005-03-31,JPY,139.0
2005-04-01,JPY,138.89
2005-04-04,JPY,139.1
